reference,name,link,n_value_strings,chars_raw,chars_clean,has_percent_markup,has_dollar_markup,has_amp_markup
17537,BURCARDUS Bernardi,/individus/17537-burcardusbernardi,17,756,740,1,1,1
17226,BARTHOLOMAEUS Charbuelli,/individus/17226-bartholomaeuscharbuelli,11,465,459,1,1,1
17941,BERNARDUS de Pertot,/individus/17941-bernardusdepertot,10,568,558,1,1,0
1486,BERTRANDUS Feron,/individus/1486-bertrandusferon,11,300,292,1,1,0
19370,BARTHOLOMAEUS de Texeriis,/individus/19370-bartholomaeusdetexeriis,69,2040,1992,1,1,1
18383,BONETUS Regnault,/individus/18383-bonetusregnault,11,471,462,1,1,1
1175,BALTHASAR Lorch de Bingen,/individus/1175-balthasarlorchdebingen,15,630,616,1,1,1
1208,BARTHOLOMAEUS Divitis,/individus/1208-bartholomaeusdivitis,16,448,430,1,1,0
1240,BALDUINUS de Aube Marle,/individus/1240-balduinusdeaubemarle,13,318,314,1,1,0
1269,BENEDICTUS Bracz,/individus/1269-benedictusbracz,16,330,314,1,1,0
17372,BERTALDUS Chevalet,/individus/17372-bertalduschevalet,13,403,389,1,1,1
13186,BERTRANDUS de Fontenay,/individus/13186-bertrandusdefontenay,19,744,726,1,1,1
17299,BENEDICTUS Ungarus,/individus/17299-benedictusungarus,15,585,571,1,1,1
60729,BRICIUS de Landrechies,/individus/60729-briciusdelandrechies,15,384,376,1,1,0
1345,BERNARDUS de Trilia,/individus/1345-bernardusdetrilia,185,9950,9772,1,1,1
13173,BALDUINUS Pastoris,/individus/13173-balduinuspastoris,14,460,450,1,1,0
17301,BERNARDUS de Paxis,/individus/17301-bernardusdepaxis,11,419,409,1,1,1
1490,BERTRANDUS Seguin,/individus/1490-bertrandusseguin,12,469,461,1,1,1
1535,BONCOMPAGNUS de Signa,/individus/1535-boncompagnusdesigna,253,12269,12078,1,1,1
17378,BERTRANDUS Bucart,/individus/17378-bertrandusbucart,14,446,426,1,1,1
17380,BRICIUS Le Zenre,/individus/17380-briciuslezenre,15,506,492,1,1,1
1281,BENEDICTUS Fardelle,/individus/1281-benedictusfardelle,12,382,376,1,1,1
23974,BONIFACIUS de Meaux,/individus/23974-bonifaciusdemeaux,11,503,493,1,1,1
53843,BERENGARIUS Mercerii,/individus/53843-berengariusmercerii,13,337,327,1,1,0
1452,BERTALDUS de Constancia 2,/individus/1452-bertaldusdeconstancia2,21,907,881,1,1,1
17369,BENEDICTUS de Guartino,/individus/17369-benedictusdeguartino,11,270,266,1,1,0
17281,BENEDICTUS Grezilhe,/individus/17281-benedictusgrezilhe,12,564,556,1,1,0
12549,BENEDICTUS Gentiani,/individus/12549-benedictusgentiani,81,5234,5092,1,1,1
17357,BUENIUS Quemmaroti,/individus/17357-bueniusquemmaroti,14,520,508,1,1,0
56635,BREMUNDUS de Cherio 1,/individus/56635-bremundusdecherio1,19,523,509,1,1,0
17216,BALDUINUS de Blety,/individus/17216-balduinusdeblety,10,458,448,1,1,1
60725,BERTRANDUS de Budossio,/individus/60725-bertrandusdebudossio,20,575,545,1,1,0
1346,BERNARDUS de Verdun,/individus/1346-bernardusdeverdun,40,1297,1281,1,1,1
17652,BERTRANDUS de Capdenaco,/individus/17652-bertrandusdecapdenaco,10,168,162,1,1,0
17355,BRICIUS de Bosco,/individus/17355-briciusdebosco,13,383,373,1,1,0
15736,BALDUINUS Gaymare,/individus/15736-balduinusgaymare,13,352,342,1,1,0
17289,BARTHOLOMAEUS de Roma,/individus/17289-bartholomaeusderoma,23,1027,1003,1,1,0
1328,BERNARDUS de Cabanes,/individus/1328-bernardusdecabanes,13,313,309,1,1,0
58779,BERNARDUS Angrianus,/individus/58779-bernardusangrianus,29,932,904,1,1,1
19167,BALDUINUS Payen,/individus/19167-balduinuspayen,13,515,503,1,1,1
1298,BERNARDUS 10,/individus/1298-bernardus10,12,269,261,1,1,0
26323,BENEDICTUS de Sancto Gervasio,/individus/26323-benedictusdesanctogervasio,11,297,292,1,1,0
1185,BARTHOLOMAEUS de Roye,/individus/1185-bartholomaeusderoye,21,902,870,1,1,1
1688,CLEMENS de Osimo,/individus/1688-clemensdeosimo,22,846,818,1,1,1
57807,CLAUDIUS Fevre,/individus/57807-claudiusfevre,16,582,564,1,1,1
51811,CLEREMBALDUS Mercatoris,/individus/51811-clerembaldusmercatoris,16,545,523,1,1,1
1837,CORNUTUS de Coureyo,/individus/1837-cornutusdecoureyo,10,318,312,1,1,0
1689,CLEMENS de Dunblane,/individus/1689-clemensdedunblane,44,1598,1553,1,1,1
1842,COSTIN Mikaert,/individus/1842-costinmikaert,17,460,446,1,1,0
1705,COLINUS Charon,/individus/1705-colinuscharon,11,236,232,1,1,0
16720,CATHARINA de Livre,/individus/16720-catharinadelivre,11,308,302,1,1,0
16713,CAROLUS Lescoet,/individus/16713-caroluslescoet,16,470,454,1,1,0
16731,CHRISTOPHORUS Rioci,/individus/16731-christophorusrioci,14,387,375,1,1,0
52217,CINIBALDUS,/individus/52217-cinibaldus,14,665,646,1,1,1
17551,CLAUDIUS Moucheti,/individus/17551-claudiusmoucheti,12,293,285,1,1,0
17284,CAROLUS Paon,/individus/17284-caroluspaon,23,607,583,1,1,0
15797,CAROLUS Rappiot,/individus/15797-carolusrappiot,23,1042,1012,1,1,0
1630,CHRISTIANUS Paiere,/individus/1630-christianuspaiere,14,553,540,1,1,0
1707,COLINUS Gondran,/individus/1707-colinusgondran,11,215,209,1,1,0
15825,CLAUDIUS Segauld,/individus/15825-claudiussegauld,19,665,649,1,1,1
53824,CLAUDIUS de Castronovo 2,/individus/53824-claudiusdecastronovo2,20,492,473,1,1,0
15798,CAROLUS Tibauvilliers,/individus/15798-carolustibauvilliers,16,474,459,1,1,0
1669,CLAUDIUS Veron,/individus/1669-claudiusveron,14,408,398,1,1,0
1808,CONRADUS Piscerna,/individus/1808-conraduspiscerna,12,441,433,1,1,1
1744,CONRADUS Herter,/individus/1744-conradusherter,20,912,888,1,1,1
16729,CHRISTOPHORUS Calvez,/individus/16729-christophoruscalvez,12,332,322,1,1,0
15800,CAROLUS de Vouges,/individus/15800-carolusdevouges,12,366,358,1,1,0
17553,CLEMENS Guibert,/individus/17553-clemensguibert,11,486,472,1,1,0
1822,CORNELIUS Theodorici de Delft,/individus/1822-corneliustheodoricidedelft,39,2300,2236,1,1,1
